battery_power,bluetooth,clock_speed,dual_sim,fc_megapixel,four_g,int_memory,m_depth,mobile_wt,n_cores,pc_megapixel,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1043,1,1.8,1,14.0,0,5,0.1,193.0,3,16,226,1412,3476.0,12,7,2,0,1,0,1
841,1,0.5,1,4.0,1,61,0.8,191.0,5,12,746,857,2396.0,6,0,7,1,0,0,2
1807,1,2.8,0,1.0,0,27,0.9,186.0,3,4,1270,1366,2396.0,17,10,10,0,1,1,2
1546,0,0.5,1,18.0,1,25,0.5,96.0,8,20,295,1752,3893.0,10,0,7,1,1,0,2
1434,0,1.4,0,11.0,1,49,0.5,108.0,6,18,749,810,1773.0,15,8,7,1,0,1,1
1464,1,2.9,1,5.0,1,50,0.8,198.0,8,9,569,939,3506.0,10,7,3,1,1,1,1
1718,0,2.4,0,1.0,0,47,1.0,156.0,2,3,1283,1374,3873.0,14,2,10,0,0,0,3
833,0,2.4,1,0.0,0,62,0.8,111.0,1,2,1312,1880,1495.0,7,2,18,0,1,1,0
1111,1,2.9,1,9.0,1,25,0.6,101.0,5,19,556,876,3485.0,11,9,10,1,1,0,0
1520,0,0.5,0,1.0,0,25,0.5,171.0,3,20,52,1009,651.0,6,0,5,1,0,1,0
1500,0,2.2,0,2.0,0,55,0.6,80.0,7,6,503,1336,3866.0,13,7,20,0,1,0,3
1343,0,2.9,0,2.0,1,34,0.8,171.0,3,6,235,1671,3911.0,15,8,8,1,1,1,3
900,1,1.4,1,0.0,0,30,1.0,87.0,2,3,829,1893,439.0,6,2,20,1,0,0,1
1190,1,2.2,1,5.0,0,19,0.9,158.0,5,15,227,1856,992.0,13,0,16,1,1,0,2
630,0,1.8,0,8.0,1,51,0.9,193.0,8,9,1315,1323,2751.0,17,6,3,1,1,0,0
1846,1,1.0,0,5.0,1,53,0.7,106.0,8,7,185,1832,563.0,9,5,10,1,0,1,0
1042,0,2.9,0,5.0,1,48,0.2,186.0,4,15,335,532,2187.0,9,2,5,1,0,0,3
1231,1,1.7,1,2.0,1,37,0.2,194.0,2,3,82,1771,3902.0,19,12,15,1,0,1,1
1488,0,2.6,0,9.0,0,37,0.7,189.0,4,20,47,559,2524.0,5,0,6,0,0,0,1
968,0,0.6,0,8.0,1,7,0.7,151.0,1,17,504,1930,1357.0,15,1,16,1,1,0,3
529,0,2.6,1,1.0,0,60,0.5,101.0,5,5,521,1591,3456.0,13,11,9,0,1,0,3
1558,0,1.7,1,7.0,0,50,0.1,700.0,2,10,777,1587,1641.0,17,0,9,0,1,1,1
533,1,0.7,1,16.0,0,58,0.8,97.0,5,18,512,1111,2322.0,17,3,2,0,1,0,0
1037,0,1.7,1,1.0,0,5,0.7,125.0,3,6,1194,1321,3862.0,17,4,7,1,1,0,1
1025,0,1.6,1,6.0,1,43,0.7,122.0,3,16,1003,1306,557.0,15,10,14,1,1,1,2
1858,0,3.0,1,0.0,0,17,0.6,124.0,4,1,575,1200,2427.0,16,11,13,1,1,0,3
980,0,0.5,0,1.0,0,8,0.1,91.0,5,5,54,658,625.0,17,3,7,0,1,1,3
644,1,0.5,1,9.0,0,15,0.2,139.0,5,10,627,630,3836.0,10,9,10,1,0,1,2
1024,1,1.6,1,0.0,1,38,0.8,81.0,2,0,129,1048,854.0,11,3,10,1,0,0,0
1981,0,2.9,1,2.0,1,11,0.3,184.0,8,13,876,1408,2383.0,11,2,18,1,0,0,3
1380,0,2.6,1,15.0,1,56,0.5,187.0,8,16,501,643,926.0,9,5,7,1,0,0,0
